category1,category2,rank,price,Publisher,ISBN10,ISBN13,ASIN,OtherRanks
" Administration & Medicine Economics ",,1,"$9.35 ","Picador; Reprint edition (September 5, 2017)"," 1250076226"," 978-1250076229",,"#264 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,2,"$17.50 ","Random House; 1 edition (January 12, 2016)"," 081298840X"," 978-0812988406",,"#567 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,3,"$0.00 with Trial ","Random House Audio",,," B0191YTT70",
" Administration & Medicine Economics ",,4,"$12.99 ","Random House; 1 edition (January 12, 2016)"," 0812988418"," 978-0812988413"," B00XSSYR50","#1,575 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,5,"$18.36 ","Scientific American / Farrar, Straus and Giroux; 1 edition (October 17, 2017)"," 0374117292"," 978-0374117290",,"#1,024 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,6,"$9.99 ","Metropolitan Books; 1 edition (October 7, 2014)",,," B00JCW0BCY","#1,983 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,7,"$0.00 with Trial ","Macmillan Audio",,," B00NPAJ32S",
" Administration & Medicine Economics ",,8,"$10.60 ","Picador; Reprint edition (January 4, 2011)"," 0312430000"," 978-0312430009",,"#1,358 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,9,"$14.82 ","Metropolitan Books; 1 edition (October 7, 2014)"," 0805095152"," 978-0805095159",,"#1,873 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,10,"$70.73 ","LWW; 9 edition (February 9, 2017)"," 1496349792"," 978-1496349798",,"#2,127 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,11,"$11.59 ","Johns Hopkins University Press; sixth edition edition (March 17, 2017)"," 1421422239"," 978-1421422237",,"#2,171 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,12,"$14.54 ","St. Martin's Press; 1 edition (October 24, 2017)"," 1250119219"," 978-1250119216",,"#2,383 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,13,"$12.99 ","Scientific American / Farrar, Straus and Giroux; 1 edition (October 17, 2017)",,," B06WP6RDRP","#3,950 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,14,"$0.00 with Trial ","Audible Studios",,," B075Y3BKNF",
" Administration & Medicine Economics ",,15,"$94.49 ","American Medical Association; Spi Pro edition (September 1, 2017)"," 1622026004"," 978-1622026005",,"#2,590 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,16,"$7.54 ","Vintage (2017)"," 1784701998"," 978-1784701994",,"#3,060 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,17,"$19.04 ","Penguin Press; 1 edition (April 11, 2017)"," 1594206759"," 978-1594206757",,"#3,808 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,18,"$12.23 ","Ballantine Books; 1 edition (August 23, 2016)"," 1101884231"," 978-1101884232",,"#3,853 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,19,"$12.99 ","St. Martin's Press; 1 edition (October 24, 2017)",,," B06XWFRPKB","#6,478 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,20,"$70.36 ","Springer Publishing Company; 11 edition (April 8, 2015)"," 0826125271"," 978-0826125279",,"#4,824 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,21,"$153.90 ","World Health Organization; Revised edition (September 29, 2017)"," 928324494X"," 978-9283244943",,"#5,153 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,22,"$11.59 ","Anchor; Reprint edition (October 24, 2017)"," 0307386716"," 978-0307386717",,"#5,431 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,23,"$80.17 ","American Medical Association; 1 edition (September 12, 2017)"," 1622026047"," 978-1622026043",,"#5,913 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,24,"$93.20 ","Jones & Bartlett Learning; 5 edition (December 17, 2014)"," 1284048861"," 978-1284048865",,"#6,323 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,25,"$41.75 ","F.A. Davis Company; 2 edition (December 22, 2011)"," 0803625839"," 978-0803625839",,"#6,700 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,26,"$119.65 ","Jones & Bartlett Learning; 3 edition (March 20, 2014)"," 1284043517"," 978-1284043518",,"#8,449 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,27,"$14.99 ","Penguin Press; 1 edition (April 11, 2017)",,," B01IOHQ9LO","#11,896 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,28,"$18.73 ","Harper; 1 edition (May 9, 2017)"," 0062641786"," 978-0062641786",,"#9,138 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,29,"$0.00 with Trial ","Random House Audio",,," B01M22JWKP",
" Administration & Medicine Economics ",,30,"$9.99 ","Metropolitan Books; 1 edition (December 15, 2009)",,," B0030V0PEW","#13,233 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,31,"$0.00 with Trial ","Penguin Audio",,," B06XDG67T9",
" Administration & Medicine Economics ",,32,"$9.18 ","Johns Hopkins University Press; sixth edition edition (April 23, 2017)",,," B06XX2JRJ7","#14,235 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,33,"$9.24 ","Simon & Schuster; 1st edition (October 4, 2016)"," 1501124005"," 978-1501124006",,"#11,714 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,34,"$6.69 ","Anchor; 1 edition (July 20, 1995)"," 0385479565"," 978-0385479561",,"#11,765 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,35,"$3.99 ","CreateSpace; 2 edition (December 15, 2016)",,," B01MXZ4CMP","#15,970 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,36,"$12.82 ","Broadway Books; 1 edition (August 2, 2011)"," 0307452425"," 978-0307452429",,"#13,074 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,37,"$17.02 ","Fire Starter Publishing; 1ST edition (2003)"," 0974998605"," 978-0974998602",,"#13,198 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,38,"$13.27 ","Avery; Reprint edition (December 31, 2013)"," 0142180432"," 978-0142180433",,"#14,045 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,39,"$12.42 ","Penguin Books; Reprint edition (August 31, 2010)"," 0143118218"," 978-0143118213",,"#14,128 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,40,"$12.99 ","Anchor (November 15, 2016)",,," B01A4ATWJU","#18,371 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,41,"$14.40 ","Broadway Books; Reprint edition (January 26, 2016)"," 0307718972"," 978-0307718976",,"#14,472 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,42,"$45.43 ","Saunders; 5 edition (December 9, 2013)"," 145573733X"," 978-1455737338",,"#14,841 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,43,"$67.19 ","Saunders; 5 edition (October 8, 2013)"," 1455740713"," 978-1455740710",,"#16,009 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,44,"$24.23 ","The Guilford Press; 1 edition (November 7, 2007)"," 1593856121"," 978-1593856120",,"#16,048 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,45,"$96.00 ","Jones & Bartlett Learning; 6 edition (August 26, 2014)"," 1284074633"," 978-1284074635",,"#16,605 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,46,"$19.04 ","PublicAffairs; 1 edition (September 12, 2017)"," 1610397673"," 978-1610397674",,"#16,711 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,47,"$14.40 ","Random House Trade Paperbacks; Reprint edition (August 18, 2015)"," 0812986687"," 978-0812986686",,"#16,947 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,48,"$23.29 ","Hesperian Foundation; Revised edition (May 1992)"," 0942364155"," 978-0942364156",,"#16,991 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,49,"$7.54 ","Second River Healthcare (May 30, 2004)"," 0974386014"," 978-0974386010",,"#17,388 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,50,"$16.39 ","For Dummies; 2 edition (April 27, 2015)"," 1118982541"," 978-1118982549",,"#17,727 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,51,"$0.00 with Trial ","Simon & Schuster Audio",,," B004XZG1KG",
" Administration & Medicine Economics ",,52,"$12.99 ","Harper; 1 edition (May 9, 2017)",,," B01KFBO81U","#22,853 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,53,"$69.99 ","American Medical Association; 2017 edition (September 30, 2016)"," 1622024001"," 978-1622024001",,"#18,609 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,54,"$0.00 with Trial ","Random House Audio",,," B00EF870X8",
" Administration & Medicine Economics ",,55,"$66.45 ","American Academy of Pediatrics; 4 edition (February 15, 2017)"," 1610020227"," 978-1610020220",,"#20,852 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,56,"$17.56 ","New Atlantean Press; 1 edition (February 1, 2016)"," 188121740X"," 978-1881217404",,"#21,256 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,57,"$28.05 ","F.A. Davis Company; 6 edition (October 16, 2014)"," 0803636636"," 978-0803636637",,"#23,567 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,58,"$6.99 ","Anchor; Reprint edition (March 14, 2012)",,," B007DCU4IQ","#29,088 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,59,"$12.99 ","For Dummies; 2 edition (June 2, 2016)",,," B01GKG0QGA","#29,597 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,60,"$11.60 ","Riverhead Books; Reprint edition (April 2, 2013)"," 1594486549"," 978-1594486548",,"#25,405 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,61,"$91.20 ","Health Administration Press; 3 edition (April 15, 2014)"," 1567935907"," 978-1567935905",,"#26,199 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,62,"$70.80 ","Jones & Bartlett Learning; 2 edition (March 30, 2015)"," 128404792X"," 978-1284047929",,"#26,447 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,63,"$15.26 ","Vintage; 1 edition (November 5, 2013)"," 034580273X"," 978-0345802736",,"#26,549 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,64,"$67.62 ","Saunders; 7 edition (May 28, 2015)"," 0323241441"," 978-0323241441",,"#26,652 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,65,"$39.69 ","McGraw-Hill Education / Medical; 7 edition (February 29, 2016)"," 1259584755"," 978-1259584756",,"#26,949 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,66,"$80.78 ","American Medical Association; 1 edition (October 15, 2016)"," 1622023986"," 978-1622023981",,"#26,997 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,67,"$13.99 ","Broadway Books; Reprint edition (September 10, 2013)",,," B00C4BA3GO","#31,872 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,68,"$50.00 ","LWW; 8 edition (February 28, 2014)"," 1451192819"," 978-1451192810",,"#27,494 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,69,"$99.25 ","Saunders; 13th edition (October 11, 2013)"," 1455733253"," 978-1455733255",,"#27,671 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,70,"$35.00 ","Russell Sage Foundation (May 31, 2015)"," 0871544776"," 978-0871544773",,"#28,199 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,71,"$71.89 ","Mosby; 6 edition (November 4, 2014)"," 0323185770"," 978-0323185776",,"#28,222 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,72,"$145.99 ","World Health Organization; 4 edition (July 26, 2017)"," 9283244931"," 978-9283244936",,"#28,664 in Books (See Top 100 in Books)"
